date_key	buyer_code_sahamdari	buyer_code_melli	buyer_mahal_sodoor	type_of_buyer	buyer_broker_name	buyer_broker_code	seller_code_sahamdari	seller_code_melli	seller_mahal_sodoor	type_of_seller	seller_broker_name	seller_broker_code	number_of_units	price
14020301	xxxx	yyyy	تهران	حقوقی ایرانی	بازارگردان‌الکترونیکی‌الگوریتمی‌تامین‌سرمایه	Nv	ssss	zzzz	شیراز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	4999	19440
14020301	xxxx	yyyy	ملایر	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	شیراز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	260	19440
14020303	xxxx	yyyy	ملکان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	بم	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	2	19600
14020301	xxxx	yyyy	تهران	حقوقی ایرانی	بازارگردان‌الکترونیکی‌الگوریتمی‌تامین‌سرمایه	Nv	ssss	zzzz	نی‌ ریز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	486	19410
14020301	xxxx	yyyy	قزوین	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	نی‌ ریز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	514	19410
14020301	xxxx	yyyy	قزوین	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	نی‌ ریز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	200	19390
14020301	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌بانک‌پاسارگاد1	4W	ssss	zzzz	نی‌ ریز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	300	19420
14020302	xxxx	yyyy	رشت	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	قوچان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	694	19790
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	باختران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	520	19600
14020302	xxxx	yyyy	شیراز	حقیقی ایرانی	مشتری‌الکترونیکی‌مبین‌سرمایه‌3-پویااندیش	Jk	ssss	zzzz	باختران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	2243	19600
14020303	xxxx	yyyy	ورامین	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	تربت‌ حیدریه	حقیقی ایرانی	مشتری‌الکترونیکی‌اردیبهشت‌ایرانیان	3W	390	19680
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	گنبدکاوس	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	132	19760
14020303	xxxx	yyyy	تهران	حقوقی ایرانی	بازارگردان‌الکترونیکی‌الگوریتمی‌تامین‌سرمایه	Nv	ssss	zzzz	کرج	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	61	19630
14020303	xxxx	yyyy	نهاوند	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	کرج	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	29	19630
14020301	xxxx	yyyy	قوچان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	قم	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	412	19460
14020301	xxxx	yyyy	تهران	حقوقی ایرانی	بازارگردان‌الکترونیکی‌الگوریتمی‌تامین‌سرمایه	Nv	ssss	zzzz	قم	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	5000	19440
14020301	xxxx	yyyy	تهران	حقوقی ایرانی	بازارگردان‌الکترونیکی‌الگوریتمی‌تامین‌سرمایه	Nv	ssss	zzzz	قم	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	7486	19440
14020302	xxxx	yyyy	شیراز	حقیقی ایرانی	مشتری‌الکترونیکی‌مبین‌سرمایه‌3-پویااندیش	Jk	ssss	zzzz	آبادان	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	19000	19600
14020303	xxxx	yyyy	رامهرمز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	بیرجند	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	60	19730
14020303	xxxx	yyyy	باختران	حقیقی ایرانی	مشتری‌الکترونیکی‌بانک‌ملت	5F	ssss	zzzz	بیرجند	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	1500	19730
14020303	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌تدبیرگران‌فردا	3T	ssss	zzzz	بیرجند	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	1070	19730
14020303	xxxx	yyyy	بروجن	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	بیرجند	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	506	19730
14020303	xxxx	yyyy	چناران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	بیرجند	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	5000	19730
14020303	xxxx	yyyy	اسدآباد	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	بیرجند	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	500	19730
14020303	xxxx	yyyy	اسدآباد	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	بیرجند	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	200	19730
14020302	xxxx	yyyy	بافت	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	2	19730
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	شمیران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	3000	19740
14020303	xxxx	yyyy	کاشان	حقیقی ایرانی	مشتری‌الکترونیکی‌کارآمد	5V	ssss	zzzz	تربت‌حیدریه	حقیقی ایرانی	مشتری‌الکترونیکی‌آینده‌نگرخوارزمی	3Q	790	19490
14020303	xxxx	yyyy	فیروزاباد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	تربت‌حیدریه	حقیقی ایرانی	مشتری‌الکترونیکی‌آینده‌نگرخوارزمی	3Q	500	19490
14020302	xxxx	yyyy	مراغه	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	شمیران	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	2	19810
14020303	xxxx	yyyy	سیرجان	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	کرمانشاه	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	553	20060
14020302	xxxx	yyyy	مراغه	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	2	19810
14020303	xxxx	yyyy	چناران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	بابل	حقیقی ایرانی	مشتری‌الکترونیکی‌بانک‌آینده	6B	587	19660
14020303	xxxx	yyyy	چناران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	سبزوار	حقیقی ایرانی	مشتری‌الکترونیکی‌اقتصادبیدار	tf	1040	19730
14020302	xxxx	yyyy	هفتکل‌رامهرمز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	659	19890
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	300	19740
14020302	xxxx	yyyy	خرامه	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	252	19740
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	434	19860
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	1000	19890
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	3000	19890
14020301	xxxx	yyyy	تهران	حقوقی ایرانی	بازارگردان‌الکترونیکی‌الگوریتمی‌تامین‌سرمایه	Nv	ssss	zzzz	رودسر	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	5859	19420
14020303	xxxx	yyyy	سیرجان	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	اصفهان	حقیقی ایرانی	مشتری‌الکترونیکی‌کارگزاری‌نمادشاهدان	jg	369	20060
14020303	xxxx	yyyy	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	2	19670
14020303	xxxx	yyyy	دهنو خالصه‌ نیشابور	حقیقی ایرانی	مشتری‌الکترونیکی‌بانک‌کشاورزی	3K	ssss	zzzz	بردسکن	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	2490	19480
14020303	xxxx	yyyy	لنجان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	بردسکن	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	1988	19440
14020303	xxxx	yyyy	سبزوار	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	بردسکن	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	10	19480
14020303	xxxx	yyyy	قزوین	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	بردسکن	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	512	19440
14020302	xxxx	yyyy	دزفول	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	کاشان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	3890	19760
14020302	xxxx	yyyy	اصفهان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	کاشان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	2000	19810
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	کاشان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	255	19810
14020302	xxxx	yyyy	مراغه	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	کاشان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	1735	19810
14020301	xxxx	yyyy	همدان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	شیراز	حقیقی ایرانی	مشتری‌الکترونیکی‌حافظ1	3S	2	19450
14020301	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	خدابنده	حقیقی ایرانی	مشتری‌الکترونیکی‌تدبیرگران‌فردا	3T	256	19500
14020301	xxxx	yyyy	کهگیلویه	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	خدابنده	حقیقی ایرانی	مشتری‌الکترونیکی‌تدبیرگران‌فردا	3T	200	19500
14020301	xxxx	yyyy	استان‌قزوین	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	خدابنده	حقیقی ایرانی	مشتری‌الکترونیکی‌تدبیرگران‌فردا	3T	5	19500
14020301	xxxx	yyyy	استان‌قزوین	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	خدابنده	حقیقی ایرانی	مشتری‌الکترونیکی‌تدبیرگران‌فردا	3T	579	19500
14020302	xxxx	yyyy	تهران	حقوقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	ssss	zzzz	سرپل‌ذهاب	حقیقی ایرانی	کارگزاری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3l	4	19860
14020301	xxxx	yyyy	همدان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	اصفهان	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	2	19450
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مبین‌سرمایه‌-تدبیر	7C	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	1557	19930
14020302	xxxx	yyyy	تهران	حقوقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	ssss	zzzz	میانه	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	1860	19720
14020301	xxxx	yyyy	لنجان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	2	19390
14020302	xxxx	yyyy	نایین	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	لردگان‌ مرکزی	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	435	19730
14020301	xxxx	yyyy	دماوند	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	اهر	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	1000	19350
14020301	xxxx	yyyy	اسدآباد	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	اهر	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	200	19350
14020301	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌بورس‌بیمه‌ایران	3E	ssss	zzzz	شیراز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	120	19450
14020303	xxxx	yyyy	شهرری	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	256	19530
14020303	xxxx	yyyy	شیراز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	1518	19510
14020303	xxxx	yyyy	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌ملل‌پویا	u5	ssss	zzzz	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	53	19510
14020303	xxxx	yyyy	سیرجان	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	9985	20060
14020303	xxxx	yyyy	اسلام‌ اباد غرب	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	472	19530
14020303	xxxx	yyyy	شیراز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	100	19510
14020303	xxxx	yyyy	لارستان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	1535	19530
14020302	xxxx	yyyy	نهاوند	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	اهر	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	749	19670
14020302	xxxx	yyyy	قزوین	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	126	19660
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	503	19870
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	503	19870
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	503	19870
14020302	xxxx	yyyy	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	8000	19870
14020302	xxxx	yyyy	شاهین‌ دژ	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	6500	19870
14020302	xxxx	yyyy	سراب	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	311	19870
14020302	xxxx	yyyy	بهار	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	7584	19650
14020302	xxxx	yyyy	بهار	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	10000	19660
14020302	xxxx	yyyy	بهار	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	6994	19660
14020302	xxxx	yyyy	شیراز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	5680	19870
14020302	xxxx	yyyy	قائم‌ شهر	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	2880	19740
14020302	xxxx	yyyy	شیراز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	5720	19870
14020302	xxxx	yyyy	بیجار	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	اهواز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	2412	19870
14020301	xxxx	yyyy	اصفهان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	رامهرمز	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	2	19350
14020302	xxxx	yyyy	تهران	حقوقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	5000	19860
14020302	xxxx	yyyy	تهران	حقوقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	5000	19860
14020302	xxxx	yyyy	تهران	حقوقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	5000	19860
14020302	xxxx	yyyy	تهران	حقوقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	4848	19860
14020301	xxxx	yyyy	قزوین	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	شهرری	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	2	19410
14020301	xxxx	yyyy	قم	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	قاین	حقیقی ایرانی	مشتری‌الکترونیکی‌توانا	5J	544	19440
14020302	xxxx	yyyy	تبریز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	شبستر	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	500	19870
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌بورس‌بیمه‌ایران	3E	ssss	zzzz	شبستر	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	276	19870
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	شبستر	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	3750	19870
14020302	xxxx	yyyy	تهران	حقوقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	ssss	zzzz	شبستر	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	5000	19860
14020303	xxxx	yyyy	اصفهان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	تهران	حقیقی ایرانی	کارگزاری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3l	2	19650
14020301	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	کوهبنان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	5000	19500
14020303	xxxx	yyyy	کرمانشاه	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	کرمانشاه	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	2	19660
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	تبریز	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	450	19800
14020301	xxxx	yyyy	شبستر	حقیقی ایرانی	مشتری‌الکترونیکی‌فارابی‌2-سوشیانت	tm	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌بانک‌سامان	4Y	4340	19510
14020301	xxxx	yyyy	آبادان	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌بانک‌سامان	4Y	633	19510
14020301	xxxx	yyyy	آبادان	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌بانک‌سامان	4Y	600	19510
14020301	xxxx	yyyy	شبستر	حقیقی ایرانی	مشتری‌الکترونیکی‌فارابی‌2-سوشیانت	tm	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌بانک‌سامان	4Y	2460	19510
14020301	xxxx	yyyy	دزفول	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌بانک‌سامان	4Y	100	19510
14020302	xxxx	yyyy	قم	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌بانک‌سامان	4Y	635	19730
14020301	xxxx	yyyy	شیراز	حقیقی ایرانی	مشتری‌الکترونیکی‌مبین‌سرمایه‌3-پویااندیش	Jk	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌بانک‌سامان	4Y	6919	19420
14020301	xxxx	yyyy	کرج	حقیقی ایرانی	مشتری‌الکترونیکی‌هوشمندرابین‌-رایان	wt	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌بانک‌سامان	4Y	134	19510
14020301	xxxx	yyyy	بیرجند	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌بانک‌سامان	4Y	11700	19420
14020302	xxxx	yyyy	اصفهان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	اراک	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	1705	19700
14020303	xxxx	yyyy	رباطکریم	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	قزوین	حقیقی ایرانی	مشتری‌الکترونیکی‌بورس‌بیمه‌ایران	3E	300	19700
14020303	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	قزوین	حقیقی ایرانی	مشتری‌الکترونیکی‌بورس‌بیمه‌ایران	3E	118	19830
14020303	xxxx	yyyy	بهار	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	قزوین	حقیقی ایرانی	مشتری‌الکترونیکی‌بورس‌بیمه‌ایران	3E	5000	19800
14020303	xxxx	yyyy	اصفهان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	قزوین	حقیقی ایرانی	مشتری‌الکترونیکی‌بورس‌بیمه‌ایران	3E	4582	19640
14020301	xxxx	yyyy	قزوین	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	ارومیه	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	4	19410
14020302	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	2285	19790
